1,0,101,20,46,56,24,128
1,128,7,115,116,127,,
1,127,102,82,127,,,
1,127,40,42,126,,,
1,126,44,11,47,128,,
1,128,14,8,62,128,,
1,128,78,128,,,,
1,128,125,70,128,,,
1,128,39,128,,,,
2,0,98,128,,,,
2,128,111,81,127,,,
2,127,33,68,127,,,
2,127,71,108,127,,,
2,127,43,89,84,127,,
2,127,112,16,127,,,
2,127,64,100,127,,,
2,127,51,66,127,,,
2,127,22,36,96,127,,
2,127,118,1,127,,,
3,0,29,77,58,128,,
3,128,88,103,127,,,
3,127,49,93,127,,,
3,127,4,21,127,,,
3,127,26,127,,,,
3,127,104,110,38,127,,
3,127,3,59,90,127,,
3,127,95,85,127,,,
3,127,55,86,128,,,
3,128,117,48,128,,,
4,0,54,57,128,,,
4,128,52,92,128,,,
4,128,75,19,128,,,
4,128,80,99,127,,,
4,127,2,91,128,,,
4,128,45,113,126,,,
4,126,30,18,126,,,
4,126,15,121,35,126,,
4,126,63,37,126,,,
5,0,60,17,128,,,
5,128,50,107,126,,,
5,126,25,32,126,,,
5,126,79,12,126,,,
5,126,10,34,126,,,
5,126,13,5,126,,,
5,126,69,122,126,,,
5,126,61,83,126,,,
5,126,67,65,126,,,
6,0,27,74,128,,,
6,128,23,120,128,,,
6,128,72,6,126,,,
6,126,9,127,,,,
6,127,28,76,126,,,
6,126,124,53,126,,,
6,126,106,114,126,,,
6,126,123,126,,,,
6,126,105,109,126,,,
7,0,73,31,126,,,
7,126,119,126,,,,
7,126,87,126,,,,
7,126,41,126,,,,
7,126,94,128,,,,
7,128,97,128,,,,
